메뉴 이름,한식,중식,일식,양식,아시안,멕시칸,매운 맛,단 맛,신 맛,짠 맛,느끼함,비건,혼밥
오므라이스,,,O,,,,,,,,,,O
하이라이스,,,O,,,,,,,,,,O
생선회,O,,O,,,,,,,,,,
육회,O,,,,,,,,,,,,
생선까스,,,O,,,,,,,,O,,O
새우튀김,,,O,,,,,,,,O,,O
감자튀김,,,,O,,,,,,O,O,,O
꽃게찜,O,,,,,,,,,O,,,
꽃게탕,O,,,,,,,,,O,,,
명태찜,O,,,,,,O,,,O,,,
아귀찜,O,,,,,,O,,,O,,,
폭립,,,,O,,,,O,,O,O,,
햄버거,,,,O,,,,,,,O,,O
깐풍기,,O,,,,,,O,,O,O,,
라조기,,O,,,,,O,,,O,O,,
꿔바로우,,O,,,,,,O,,,O,,
멘보샤,,O,,,,,,,,,O,,
김치말이국수,O,,,,,,,,,,,O,O
밀면,O,,,,,,O,,O,,,O,O
수제비,O,,,,,,,,,,,O,O
죽,O,O,O,,O,,,,,,,O,O
만두,,O,,,,,,,,,,,O
만두국,O,O,,,,,,,,,,,O
토스트,,,,O,,,,O,,,,O,O
팔보채,,O,,,,,,O,,,O,,
양장피,,O,,,,,,,O,,,,
유산슬,,O,,,,,,,,,O,,
양꼬치,,O,,,,,,,,O,O,,
두부김치,O,,,,,,O,,,O,,O,
골뱅이소면,,,,,,,O,,,,,,
가지덮밥,O,O,O,,,,,,,,,O,O
마라롱샤,,O,,,,,O,,,O,,,
월남쌈,,,,,O,,,,,,,,
육전,O,,,,,,,,,,,,
수육,O,,,,,,,,,,,,
오징어덮밥,O,,,,,,O,O,,O,,,O
짜장밥,,O,,,,,,O,,,O,,O
간장밥,O,,,,,,,O,,,,,O
소세지야채볶음,O,,,,,,,O,,,,,O
닭똥집,O,,,,,,,,,O,O,,
순대볶음,O,,,,,,O,,,O,,,O
잔치국수,O,,,,,,,,,,,O,O
칼국수,O,,,,,,,,,,,O,O
콩국수,O,,,,,,,,,,,O,O
크림스파게티,,,,O,,,,O,,,O,,
고르곤졸라,,,,O,,,,O,,,O,,
까르보나라,,,,O,,,,,,,O,,
야끼니꾸,,,O,,,,,,,,O,,
주먹밥,O,,,,,,,,,,,O,O
오니기리,,,O,,,,,,,,,O,O
낫또,,,O,,,,,,,O,,O,O
낙지볶음,O,,,,,,O,,,O,,,O
유린기,,O,,,,,,O,,,O,,
고추잡채,,O,,,,,O,O,,,,,O
동태찌개,O,,,,,,O,,,O,,,O
봉골레파스타,,,,O,,,,,,,O,,
함박스테이크,,,O,,,,,O,,,O,,O
리조또,,,,O,,,,,,,O,,
시리얼,,,,O,,,,O,,,,O,O
프렌치토스트,,,,O,,,,O,,,,,O
동파육,,O,,,,,,O,,,O,,
바베큐,,,,O,,,,,,,O,,
맥앤치즈,,,,O,,,,,,,O,,O
타코야끼,,,O,,,,,O,,O,O,,O
라볶이,O,,,,,,O,O,,,,,O
푸팟퐁커리,,,,,O,,O,,O,,,,O
딤섬,,O,,,,,,,,,,,O
깐쇼새우,,O,,,,,O,,,O,O,,
기스면,,O,,,,,,,,,,,O
난자완스,,O,,,,,,O,,,O,,
울면,,O,,,,,,,,,,,O
오코노미야키,,,O,,,,,,,,,,O
덴푸라,,,O,,,,,,,,O,,O
가라아게,,,O,,,,,,,,O,,O
야키토리,,,O,,,,,,,,,,O
모츠나베,,,O,,,,,,,,O,,
밀푀유나베,,,O,,,,,,,,,,
오야코동,,,O,,,,,,,,,,O
카이센동,,,O,,,,,,,,,,
츠케멘,,,O,,,,,,,O,,,O
타코와사비,,,O,,,,O,,,,,,
나가사키짬뽕,,,O,,,,O,,,O,,,O
멘치까스,,,O,,,,,,,,O,,O
명란파스타,,,O,,,,,,,O,,,
어묵탕,O,,O,,,,,,,,,,
로띠,,,,,O,,,O,,,,,O
샥슈카,,,,O,,,O,,,,,,
케밥,,,,,O,,,,,,,,
탄탄면,,O,O,,,,O,,,O,,,O
반미,,,,,O,,,,,,,,O
나시고랭,,,,,O,,,,,,,,O
커리&난,,,,,O,,,,,,,,
우육면,,O,,,,,,,,,,,O
김치찜,O,,,,,,O,,,,,,O
양갈비,O,,,,,,,,,,O,,
탄두리치킨,,,,,O,,,,,,,,
꼬막비빔밥,O,,,,,,,,,,,,O
어향육사,,O,,,,,,,,O,,,O
알리오올리오,,,,O,,,,,,,O,,
필라프,,,,O,,,,,,,,,
뇨끼,,,,O,,,,,,,O,,
오믈렛,,,,O,,,,,,,,,O
몽골리안비프,,O,,,,,,,,,,,
차오미엔,,,,,O,,,,,,,,O
투움바파스타,,,,O,,,,,,,O,,
퀘사디야,,,,O,,,,,,,,,O
슈바인학센,,,,O,,,,,,,O,,
바지락술찜,O,,,,,,,,,,,,
버팔로윙,,,,O,,,,O,,O,O,,
대창덮밥,,,O,,,,,,,,O,,O
스테이크덮밥,,,O,,,,,,,,,,O
매운갈비찜,O,,,,,,O,,,,,,
참치마요덮밥,O,,,,,,,,,,,,O
치킨마요덮밥,O,,,,,,,,,,,,O
스팸마요덮밥,O,,,,,,,,,,,,O
밥버거,O,,,,,,,,,,,,O
곱도리탕,O,,,,,,O,,,O,,,
고로케,,,O,,,,,,,,O,,O
추어탕,O,,,,,,,,,,,,O
황태국,O,,,,,,,,,,,,O
양곰탕,O,,,,,,O,,,O,,,O
편육,O,,,,,,,,,,,,
고등어조림,O,,,,,,O,,,O,,,O
갈치조림,O,,,,,,O,,,O,,,O
전어구이,O,,,,,,,,,O,,,O
부침개,O,,,,,,,,,,,,
굴국밥,O,,,,,,,,,,,,O
도토리묵밥,O,,,,,,,,,,,O,O
화덕피자,,,,O,,,,,,,O,,
수제버거,,,,O,,,,,,,O,,O
계란말이,O,,,,,,,,,,,,O
양념게장,O,,,,,,O,,,O,,,O
물회,O,,,,,,,,,,,,O
오징어무침,O,,,,,,O,,,,,,O
차슈덮밥,,,O,,,,,,,,,,O
닭꼬치,O,O,O,,,,,,,,,,O
떡꼬치,O,,,,,,,,,,,,O
볶음우동,O,O,O,,,,,,,,,,O
해물누룽지탕,O,,,,,,,,,,,,
열무국수,O,,,,,,,,,,,,O
훈제오리,O,,,,,,,,,,,,
차슈라멘,,,O,,,,,,,O,,,O
치킨텐더,,,,O,,,,,,,O,,O
삼합,O,,,,,,,,,,,,
홍어무침,O,,,,,,,,,,,,
야채튀김,O,,,,,,,,,,O,,
치킨너겟,,,,O,,,,,,,O,,O
팥칼국수,O,,,,,,,,,,,,O
전복죽,O,,,,,,,,,,,,O
단호박죽,O,,,,,,,O,,,,,O
야채죽,O,,,,,,,,,,,,O
콘치즈,,,,O,,,,,,,O,,O
돈까스김치나베,,,O,,,,O,,,O,O,,O
어니언링,,,,O,,,,,,,O,,O
참치찌개,O,,,,,,O,,,,,,O
깐풍만두,,O,,,,,,,,,,,O
버터갈릭감자튀김,,,,O,,,,,,,O,,O
야채곱창,O,,,,,,O,,,O,O,,
떡갈비,O,,,,,,,O,,,O,,
차돌박이 숙주볶음,O,,,,,,,,,,,,O
감자그라탕,,,,O,,,,,,,O,,
들깨칼국수,O,,,,,,,,,,,O,O
홍합탕,O,,,,,,,,,,,,
토마토달걀볶음,,O,,,,,,,,,,,O
고구마맛탕,O,,,,,,,O,,,,O,O
오징어무국,O,,,,,,O,,,O,,,O
장조림,O,,,,,,,O,,O,,,O
쏨땀,,,,,O,,,,,,,,O
베이징덕,,O,,,,,,,,,O,,
그린 커리,,,,,O,,O,,,,,,O
피쉬앤칩스,,,,O,,,,,,O,O,,O
돌솥밥,O,,,,,,,,,,,O,O
평양냉면,O,,,,,,,,O,,,O,O
와규,,,O,,,,,,,,O,,
일본식카레,,,O,,,,,,,,,,O
오차즈케,,,O,,,,,,,,,O,O
돼지김치구이,O,,,,,,O,,,O,,,O
낙지덮밥,O,,,,,,O,,,O,,,O
알탕,O,,,,,,O,,,O,,,
쭈꾸미볶음,O,,,,,,O,,,O,,,O
녹두전,O,,,,,,,,,,,O,O
메밀전,O,,,,,,,,,,,O,O
크림새우,,O,,,,,,O,,,,,
향라새우,,O,,,,,O,,,O,,,
샤오룽바오,,O,,,,,,,,,,,O
핫도그,,,,O,,,,,,,O,,O
미트파이,,,,O,,,,,,,O,,
닭가슴살볶음밥,O,,,,,,,,,,,,O
치즈버거,,,,O,,,,,,,O,,O
치킨버거,,,,O,,,,,,,O,,O
중화냉면,,O,,,,,,,O,,,,O
우삼겹덮밥,O,,,,,,,O,,,O,,O
간장새우덮밥,O,,,,,,,O,,O,,,O
마제소바,,,O,,,,,,,,O,,O
메밀 전병,O,,,,,,,,,,,O,O
빠네파스타,,,,O,,,,,,,O,,
컵밥,O,,,,,,,,,,,,O
치즈볼,,,,O,,,,,,,O,,
웨지감자,,,,O,,,,,,,O,O,O
짜파게티,O,,,,,,,O,,O,O,,O
새우튀김덮밥,,,O,,,,,,,,O,,O
돼지국밥,O,,,,,,,,,O,,,O
해장국,O,,,,,,O,,,O,,,O
내장탕,O,,,,,,O,,,O,,,O
돔베고기,O,,,,,,,,,,,,O
삼계탕,O,,,,,,,,,,,,O
페퍼로니피자,,,,O,,,,,,O,O,,
하와이안피자,,,,O,,,,O,,O,O,,
콤비네이션피자,,,,O,,,,,,O,O,,
약밥,O,,,,,,,,,,,O,O
꼬리곰탕,O,,,,,,,,,,,,O
꼬치어묵,O,,,,,,,,,,,,O
들기름막국수,O,,,,,,,,,,,O,O
베이글,,,,O,,,,,,,,O,O
염소탕,O,,,,,,,,,,,,
